,target_id,tpm
230,AC002310.3,0.149566983167583
231,AC002310.4,1.98904794210496
232,AC002310.5,3.9254384923063e-05
233,AC002347.1,0
234,AC002347.2,0
235,AC002351.1,0
236,AC002366.1,0
237,AC002367.1,0
238,AC002368.1,0
239,AC002375.1,0
240,AC002378.1,0
241,AC002381.1,0
242,AC002383.1,0
243,AC002386.1,0
244,AC002398.1,0
245,AC002398.2,0
246,AC002400.1,0
247,AC002401.1,0.118842068081658
248,AC002401.2,0
249,AC002401.3,0
250,AC002401.4,0
251,AC002407.1,0
252,AC002428.1,0
253,AC002428.2,0
254,AC002429.1,0
255,AC002429.2,0.00843828244335488
256,AC002451.1,0
257,AC002454.1,0
258,AC002456.1,0
259,AC002456.2,0
260,AC002460.1,0
261,AC002463.1,0
262,AC002464.1,0.0114777392438822
263,AC002465.1,0
264,AC002467.1,0
265,AC002470.1,0
266,AC002470.2,10.021568818995
267,AC002472.1,0.0868012873275236
268,AC002472.2,0.126529031279689
269,AC002472.3,0.117290399329242
270,AC002472.4,0
271,AC002480.1,0
272,AC002480.2,0
273,AC002486.1,0
274,AC002486.2,0
275,AC002487.1,0
276,AC002504.1,0
277,AC002511.1,0
278,AC002511.2,0
279,AC002511.3,0
280,AC002519.1,0.0409543037867701
281,AC002519.2,0.0243803672778796
282,AC002524.1,0
283,AC002542.1,0
284,AC002543.1,0.0173488137557391
285,AC002545.1,13.6252941135791
286,AC002546.1,0.122913959249607
287,AC002550.1,0.0195477205333553
288,AC002550.2,0
289,AC002551.1,0.120378846910217
290,AC002553.1,0.131963407064371
291,AC002553.2,0
292,AC002558.1,0.437617881994928
293,AC002558.2,1.36302162806006
294,AC002558.3,0.0090996080369178
295,AC002563.1,0.12562979036496
296,AC002984.1,0
297,AC002985.1,2.73603196874197
298,AC002996.1,51.4607581432086
299,AC003001.1,0
300,AC003001.2,0
301,AC003002.1,0
302,AC003002.2,0
303,AC003002.3,0.570315265509972
304,AC003005.1,0.0457507771993913
305,AC003005.2,0
306,AC003006.1,9.42804879461228
307,AC003009.1,0
308,AC003035.1,0
309,AC003035.2,0
310,AC003042.1,0
311,AC003042.2,0.291402889664712
